弹幕信息出现分钟,弹幕出现日期,弹幕内容
00:44:18,2022-12-06 13:43:57,这时候就有摸鱼了哈哈
00:44:24,2022-12-03 21:56:59,那时候就有摸鱼了
00:27:41,2022-12-03 21:25:57,这个设计很巧妙
00:27:47,2022-12-02 15:04:53,赎金越高，牢门越厚
00:44:08,2022-12-01 12:31:01,酒驾现场
00:18:35,2022-12-01 12:03:50,孔乙己转世
00:48:29,2022-11-29 19:23:48,哈哈哈
00:21:36,2022-11-22 23:05:57,！！！9人的举手了
00:24:54,2022-11-21 13:18:32,天大的误会就是这么来的
00:26:53,2022-11-20 21:08:46,这眼睛真的要出来了哈哈
00:43:33,2022-11-20 19:49:04,果然开心的时候点根烟是标配～
00:03:33,2022-11-19 16:47:04,人家有仙術啊
00:25:04,2022-12-06 20:58:50,哈哈哈哈
00:47:11,2022-12-06 20:35:19,孙兴长得帅
00:43:14,2022-12-06 20:31:57,跟日剧一样居中五坏人
00:06:39,2022-12-06 20:24:29,台版真人龙珠
00:30:03,2022-12-05 18:05:40,俩孩子缺心眼
00:12:42,2022-12-05 17:48:06,这俩孩子就欠没饭吃流浪，才会想起以前的日子有多好
00:41:20,2022-12-04 17:11:01,麻将可能更重要了啦
00:32:48,2022-12-03 23:53:48,主要人也不是专业绑匪
00:44:51,2022-12-03 21:57:26,这就说明有机会了
00:14:52,2022-12-03 21:27:00,我很庆幸我的童年是在九十年代，我很快乐
00:39:48,2022-12-02 15:16:54,西瓜网兜
00:37:38,2022-12-02 15:14:43,使劲吓唬
00:30:39,2022-12-02 15:07:44,爱你孤身走暗巷
00:27:22,2022-12-02 15:04:28,哈哈哈
00:25:41,2022-12-02 15:02:47,100多亿？
00:43:31,2022-12-02 11:03:55,正能量
00:25:30,2022-12-01 23:55:12,哈哈哈哈哈哈
00:14:34,2022-12-01 23:43:45,好喜欢女主这一身穿搭
00:41:42,2022-12-01 23:16:00,哈哈，看我眼色行事
00:38:46,2022-12-01 12:26:53,医学奇迹
00:32:52,2022-11-30 16:26:46,秋千摔前面也是一绝
00:25:49,2022-11-30 16:09:15,完全乱套了
00:47:39,2022-11-29 19:22:57,开灯
00:12:40,2022-11-28 23:59:38,特异功能看一下吧，天眼通
00:15:51,2022-11-28 23:11:20,那时候人心不复杂 搁现在肯定想到故意绑架了
00:39:31,2022-11-28 20:08:05,为什么头上戴个网兜
00:15:05,2022-11-27 13:16:12,对呀，超能力直接预判以下
00:10:40,2022-11-27 08:54:58,2022/11/27   三十一年半以后，比我年龄都大一个月，第一次看
00:07:52,2022-11-26 19:54:13,长的有点像啊这两个男演员
00:41:05,2022-11-26 14:19:40,吃过苦头才知道自己家有多好
00:39:35,2022-11-26 14:18:10,超能力就是牛
00:24:34,2022-11-26 14:03:08,。。。。。。。。。。
00:10:29,2022-11-24 16:00:18,2022年11月24日
00:14:08,2022-11-23 19:53:04,这样说来好像是哦，头发都好浓密
00:07:40,2022-11-23 12:48:25,你俩在一起吧
00:41:07,2022-11-23 11:50:33,孩子妈妈是后妈吗，一点不带管的
00:32:19,2022-11-22 18:25:31,还好这个人还有良知
00:10:34,2022-11-22 08:02:08,你是30年后吧
00:39:24,2022-11-21 13:35:04,医学奇迹
00:39:04,2022-11-20 22:13:13,退，退，退
00:16:18,2022-11-20 19:08:44,让人怀疑自己绑架了小孩
00:14:27,2022-11-20 17:25:25,你熬夜啊刷手机啊
00:44:20,2022-11-20 14:43:37,哇酷，摸鱼
00:14:43,2022-11-20 13:27:36,先找孩子啊
00:21:28,2022-11-19 19:31:09,我是布尔玛
00:14:02,2022-11-19 17:11:00,那个时候不用熬夜刷手机
00:13:35,2022-11-19 09:09:21,好多漫画书 看到七龙珠了 80后小学时的回忆满满
00:11:10,2022-11-18 21:45:44,八个
00:37:26,2022-11-18 21:35:52,每次都是你
00:35:17,2022-11-18 21:33:32,身高差
00:12:47,2022-11-18 12:31:36,开挂啊
00:25:09,2022-11-16 12:53:34,误会大了
00:25:24,2022-11-16 00:08:32,哈哈哈
00:25:41,2022-11-15 22:51:43,完了 误会了
00:19:18,2022-11-15 22:45:01,看到这一幕觉得这部剧的演员白冰冰挺可怜的
00:21:13,2022-11-15 22:21:52,9人在·看·叶！！！
00:42:42,2022-11-15 20:46:40,丽丽这套衣服真好看
00:25:26,2022-11-15 17:34:39,哈哈哈哈哈哈哈哈哈
00:44:21,2022-11-15 11:36:29,摸鱼！！！！
00:34:34,2022-11-15 11:26:35,哈哈
00:25:29,2022-11-15 11:17:28,哈哈
00:17:11,2022-11-15 11:08:23,有钱人的脑回路
00:05:22,2022-11-15 10:56:26,女儿一看就是亲生的
00:09:59,2022-11-15 04:01:42,所以铜臭味浓了，人情味就会淡了
00:07:48,2022-11-15 03:58:59,左手无名指深有戒指了
00:26:45,2022-11-15 01:46:19,哈哈哈。。。
00:11:24,2022-11-14 21:49:43,超级好看的风衣，美女
00:18:44,2022-11-14 13:08:14,老板哪里口音
00:25:39,2022-11-14 11:49:49,哈哈哈哈哈哈哈后
00:16:36,2022-11-14 11:42:37,误会大了
00:07:25,2022-11-14 11:35:40,老实人
00:16:06,2022-11-14 07:50:31,引起误会的对话
00:15:07,2022-11-14 07:49:24,林姐真美啊，美死了(ꈍᴗꈍ)
00:21:54,2022-11-14 06:58:05,在杰难逃
00:38:07,2022-11-13 22:09:30,精 准 定 位
00:25:29,2022-11-13 21:43:39,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
00:15:02,2022-11-13 21:28:36,用超能力查一下不就知道了
00:10:23,2022-11-13 14:47:23,20多年后重温一遍
00:14:22,2022-11-13 13:56:35,钱不要给我呀
00:11:11,2022-11-13 09:46:11,flag立好了，八个哦
00:10:11,2022-11-13 09:44:43,这也太催泪吧
00:21:24,2022-11-12 18:08:07,他本来就是台湾人
00:32:52,2022-11-12 15:09:47,快使用手环
00:44:22,2022-11-12 00:28:05,摸鱼…嗯嗯厉害
00:44:40,2022-11-11 20:37:18,哈哈哈哈哈
00:41:41,2022-11-11 20:34:28,哈哈哈鼻孔
00:32:35,2022-11-11 20:25:49,天哪太戏剧了
00:28:24,2022-11-11 20:21:51,塔腿好细哦
00:21:15,2022-11-11 20:14:43,孩子有台湾腔
00:11:34,2022-11-11 18:58:39,女主有特异功能最大的好处就是不用做头发了个
00:05:22,2022-11-11 18:46:00,这个小女孩和她爸爸长的好像
00:06:56,2022-11-11 14:39:44,小女孩老忘词 哈哈哈
00:42:26,2022-11-10 21:23:29,衣服好漂亮
00:14:18,2022-11-10 21:20:01,我才30秃了开始了
00:09:51,2022-11-10 21:15:06,好
00:13:57,2022-11-09 23:35:29,那个时候的人头都不秃
00:44:17,2022-11-09 12:48:24,摸鱼这个词那么早就有了
00:18:58,2022-11-09 01:17:48,那就天天中午晃荡
00:43:32,2022-11-07 12:59:02,女主衣服都好时尚，到现在穿也不过时。
00:00:18,2022-11-05 10:50:50,再听依旧那么喜庆
00:39:02,2022-12-06 21:51:40,又是你
00:42:58,2022-12-05 18:42:05,应该真遇到个绑匪让这俩孩子吃点苦。
00:08:24,2022-12-05 17:43:10,这孩子事真多，一点不懂事
00:06:21,2022-12-05 17:40:41,就是生在福中不知福，生贫困家庭吃不上饭，就该作别的妖了
00:27:01,2022-12-05 16:39:39,小了，格局小了
00:43:32,2022-12-05 14:22:17,真的假的
00:21:44,2022-12-04 22:10:00,炸鸡汉堡
00:43:40,2022-12-03 21:56:13,好人一直有，不过现在真的风气越来越坏了
00:41:48,2022-12-02 21:09:29,家庭妇男
00:15:55,2022-12-02 20:42:22,前面的别走，接着看啊
00:09:49,2022-12-02 20:35:37,大户人家是不用窗帘么
00:45:22,2022-12-01 12:32:22,一会把车开跑了
00:18:04,2022-12-01 12:03:10,拙劣的偷技，让人一眼就怀疑
00:14:13,2022-11-29 12:32:16,可能是假发呢
00:47:00,2022-11-29 10:58:04,两个废柴能娶到老婆也是离奇
00:18:07,2022-11-27 13:19:31,唉，连小孩子的钱都偷
00:26:36,2022-11-26 14:05:11,笑死，瞧你那点出息
00:42:27,2022-11-25 22:19:26,这人还没坏透啊，还有点良心
00:25:31,2022-11-24 11:54:59,没懂为啥要骗他
00:29:36,2022-11-22 09:40:09,阿姨突然想拉稀
